Source / mod JAR,Namespace,Advancement ID,Native title,Native description / source meaning,Trigger surface,Frame,Parent,Completion significance,Proposed presenter,Proposed INCLUDE/EXCLUDE,Proposal rationale / exclusion reason,Presenter rationale,Reserved by V5 quest (fill after detectors are pinned),Overlord override,Overlord presenter override,Overlord notes
Darker Depths-1.20.1-2.1.5.jar,darkerdepths,darkerdepths:activities/bottle_void_soul,Bottle O'Void Souls,Bottle a Void Soul with a Glass Bottle,player_interacted_with_entity,task,darkerdepths:visited/sandy_catacombs,,Mortis,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
Darker Depths-1.20.1-2.1.5.jar,darkerdepths,darkerdepths:activities/elytra_boosted_by_geyser,Inverse Rocketry,Fly through a geyser burst with an Elytra,darkerdepths:geyser_elytra_boost,task,darkerdepths:visited/molten_cavern,,Grubbison Jr,INCLUDE,distinct authored native event (Q210),source domain (Q212 fallback / Q214),,,,
Darker Depths-1.20.1-2.1.5.jar,darkerdepths,darkerdepths:activities/insert_diamond_into_crystal_husk,Back From the Dead!,Give a Crystal Husk a Diamond,item_used_on_block,task,darkerdepths:visited/molten_cavern,,Mortis,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
Darker Depths-1.20.1-2.1.5.jar,darkerdepths,darkerdepths:activities/obtain_forsaken_bronze_scrap,Titan's Slag,Obtain a Forsaken Bronze Scrap from the Catacombs,inventory_changed,task,darkerdepths:visited/structure/visited_catacombs,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
Darker Depths-1.20.1-2.1.5.jar,darkerdepths,darkerdepths:activities/obtain_glowshroom_cap,Glow In the Dark,Obtain a Glowshroom Cap from a Glowshroom Monster,inventory_changed,task,darkerdepths:visited/glowshroom_forest,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
Darker Depths-1.20.1-2.1.5.jar,darkerdepths,darkerdepths:activities/set_death_anchor,Soul Pact,Set a Death Anchor with a Void Soul Requiem,item_used_on_block,task,darkerdepths:activities/obtain_forsaken_bronze_scrap,,Mortis,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
Darker Depths-1.20.1-2.1.5.jar,darkerdepths,darkerdepths:activities/use_crystal_melon,Feel the POWAH!,Use a Crystal Melon,darkerdepths:used_crystal_melon,task,darkerdepths:activities/insert_diamond_into_crystal_husk,,Grubbison Jr,INCLUDE,distinct authored native event (Q210),source domain (Q212 fallback / Q214),,,,
Darker Depths-1.20.1-2.1.5.jar,darkerdepths,darkerdepths:story/root,Darker Depths,Thank you for installing Darker Depths!,tick,goal,,,Grubbison Jr,INCLUDE,domain entry milestone (Q210),source domain (Q212 fallback / Q214),,,,
Darker Depths-1.20.1-2.1.5.jar,darkerdepths,darkerdepths:visited/glowshroom_forest,Luminous Depths,Visit the Glowshroom Forest biome,location,task,darkerdepths:story/root,,Grubbison Jr,INCLUDE,distinct authored native event (Q210),source domain (Q212 fallback / Q214),,,,
Darker Depths-1.20.1-2.1.5.jar,darkerdepths,darkerdepths:visited/molten_cavern,It's Getting Hot in Here!,Visit the Molten Cavern biome,location,task,darkerdepths:story/root,,Grubbison Jr,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
Darker Depths-1.20.1-2.1.5.jar,darkerdepths,darkerdepths:visited/sandy_catacombs,Desert but Underground?,Visit the Sandy Catacombs biome,location,task,darkerdepths:story/root,,Grubbison Jr,INCLUDE,distinct authored native event (Q210),source domain (Q212 fallback / Q214),,,,
Darker Depths-1.20.1-2.1.5.jar,darkerdepths,darkerdepths:visited/structure/visited_catacombs,The Lost Souls,Visit the Catacombs Structure,location,task,darkerdepths:visited/sandy_catacombs,,Mortis,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
Display Case-forge-1.20-1.0.8.jar,display_case,display_case:colorful_case,Colorful!,Change color of display case,display_case:paint_item,task,display_case:display_item,,,EXCLUDE,trivial mechanical noise,,,,,
Display Case-forge-1.20-1.0.8.jar,display_case,display_case:display_item,What an item!,Put the item in the display case,item_used_on_block,task,minecraft:husbandry/root,,,EXCLUDE,trivial mechanical noise,,,,,
Display Case-forge-1.20-1.0.8.jar,display_case,display_case:infinity_case,To infinity and beyond,Put the display case in the display case,display_case:put_item,task,display_case:display_item,,,EXCLUDE,trivial mechanical noise,,,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/craft_knife,Hunt and Gather,Craft a Knife to scavenge extra goods from plants and animals,inventory_changed,task,farmersdelight:main/root,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/eat_nourishing_food,Nourishing!,A balanced and diverse meal will keep you fed and healthy for a long time!,effects_changed,task,farmersdelight:main/place_cooking_pot,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/get_fd_seed,Crops of the Wild,"Four new crops may be found in the wild, across many climates... or maybe in a chest somewhere.",inventory_changed,task,farmersdelight:main/root,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/get_ham,Wild Butcher,Use a Knife to extract Ham from Pigs or Hoglins,inventory_changed,task,farmersdelight:main/craft_knife,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/get_mushroom_colony,Fungus Among Us,"Shear a fully mature Mushroom Colony. To grow them like this, you'll need a very rich soil...",inventory_changed,task,farmersdelight:main/get_fd_seed,,Gristle,INCLUDE,distinct authored native event (Q210),source domain (Q212 fallback / Q214),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/get_rich_soil,Plant Food,"Organic Compost slowly decays into Rich Soil, an upgrade for your farms!",inventory_changed,goal,farmersdelight:main/place_organic_compost,,Gristle,INCLUDE,goal-frame milestone (Q210),event theme (Q212),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/harvest_ropelogged_tomato,Tall-mato,Hang some rope above a tomato crop to make it grow taller,item_used_on_block,task,farmersdelight:main/get_fd_seed,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/harvest_straw,Grasping at Straws,"Harvest grass, wheat or rice with a Knife to collect Straw",inventory_changed,task,farmersdelight:main/craft_knife,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
